Relatório de campanha;;;;;;;;;;;;;;;;;;;;;;;;;;
1 de Janeiro de 2022 - 27 de Junho de 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Dia;Status da campanha;Campanha;Nome do orçamento;Código da moeda;Orçamento;Tipo de orçamento;Status;Motivos do status;Tipo de campanha;Pontuação de otimização;Impr.;Conversões;Custo / conv.;Custo;Taxa de conv.;Custo médio;Interações;Taxa de interação;Tipo de estratégia de lances;Cliques;CTR;Engajamentos;Visualizações;Ligações telefônicas;Impr. chamadas;PTR (taxa de chamadas)
18/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;6.137;205;0,46;94,06;25,43%;0,12;806;13,13%;CPA desejado;267;4,35%;543;365;0;0; --
26/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;8.453;193;0,5;95,96;16,99%;0,08;1.136;13,44%;CPA desejado;273;3,23%;865;533;0;0; --
29/01/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
03/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
09/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;0;0;0;0;0,00%; --;0; --;CPA desejado;0; --;0;0;0;0; --
16/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.332;220;0,76;167,31;26,54%;0,2;829;8,88%;CPA desejado;306;3,28%;528;284;0;0; --
19/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;10.211;298;0,53;156,54;25,98%;0,14;1.147;11,23%;CPA desejado;367;3,59%;781;520;0;0; --
21/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;13.081;340;0,41;138,45;35,60%;0,14;955;7,30%;CPA desejado;501;3,83%;457;310;0;0; --
27/02/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;9.970;386;0,42;162,95;31,46%;0,13;1.227;12,31%;CPA desejado;495;4,96%;734;479;0;0; --
01/03/2022;Ativada;[download]Manutencao_Marketing_geral; --;BRL;200;Diário;Qualificado;;App;100;17.330;554;0,31;172,64;33,07%;0,1;1.675;9,67%;CPA desejado;776;4,48%;903;604;0;0; --
